ts_code,trade_date,name,close,pct_change,vol,amount,pe,pb,total_mv
801129.SI,20031208,调味发酵品Ⅱ,836.39,-0.57,184.0,1285.0,63.73,2.02,945816.0
801128.SI,20031208,休闲食品,555.44,1.31,270.0,1444.0,,4.18,96260.0
801127.SI,20031208,饮料乳品,877.1,-1.63,920.0,7352.0,27.18,2.47,2367210.0
801126.SI,20031208,非白酒,863.72,-0.73,982.0,8124.0,39.04,2.36,2974167.0
801125.SI,20031208,白酒Ⅱ,736.35,-1.65,917.0,7161.0,23.38,2.07,4203690.0
801116.SI,20031208,家电零部件Ⅱ,681.77,-1.76,40.0,217.0,50.94,1.99,268025.0
801115.SI,20031208,照明设备Ⅱ,1201.82,-0.02,122.0,1381.0,19.39,1.94,437460.0
801104.SI,20031208,软件开发,957.7,-0.16,1390.0,15435.0,60.11,3.35,2236603.0
801103.SI,20031208,IT服务Ⅱ,834.56,-0.69,1108.0,11286.0,35.45,3.63,3633466.0
801096.SI,20031208,商用车,1623.02,-0.9,1967.0,18832.0,25.46,2.85,4986744.0
801095.SI,20031208,乘用车,1993.37,-4.0,2008.0,26727.0,17.24,3.93,6422283.0
801078.SI,20031208,自动化设备,1121.73,-0.83,74.0,843.0,105.82,5.06,458198.0
801077.SI,20031208,工程机械,1863.7,-0.73,1635.0,14919.0,19.63,3.28,2741722.0
801056.SI,20031208,能源金属,630.99,0.4,104.0,646.0,130.73,3.14,176757.0
801045.SI,20031208,特钢Ⅱ,959.83,-1.58,1000.0,5441.0,21.23,1.76,1564036.0
801044.SI,20031208,普钢,1823.15,-1.58,14165.0,96267.0,12.28,2.07,20917546.0
801043.SI,20031208,冶钢原料,1056.23,-1.6,1039.0,6782.0,18.31,1.59,1563835.0
801038.SI,20031208,农化制品,909.8,-1.42,1943.0,12657.0,29.2,2.58,2968929.0
801995.SI,20031205,电视广播Ⅱ,724.69,-0.38,422.0,4734.0,52.76,2.35,2132098.0
801994.SI,20031205,教育,778.8,0.01,112.0,1010.0,32.31,3.81,675460.0
801993.SI,20031205,旅游及景区,713.87,-0.78,486.0,3608.0,68.23,2.31,1470391.0
801992.SI,20031205,航运港口,1436.11,0.53,3384.0,27449.0,30.76,3.27,6856220.0
801991.SI,20031205,航空机场,1087.95,0.56,4275.0,24740.0,34.59,2.44,6975249.0
801982.SI,20031205,化妆品,598.92,0.94,92.0,884.0,23.4,2.21,261090.0
801981.SI,20031205,个护用品,682.94,-0.22,47.0,211.0,330.75,2.62,102290.0
801980.SI,20031205,美容护理,790.35,0.55,159.0,1226.0,30.3,2.07,466395.0
801972.SI,20031205,环保设备Ⅱ,607.08,0.66,168.0,1288.0,49.79,2.74,379544.0
801971.SI,20031205,环境治理,875.03,-0.25,1866.0,13507.0,47.33,2.94,5714774.0
801970.SI,20031205,环保,844.52,-0.18,2034.0,14795.0,47.54,2.93,6094318.0
801963.SI,20031205,炼化及贸易,1454.37,-0.23,6863.0,32505.0,28.71,2.71,35299618.0
801962.SI,20031205,油服工程,1147.08,-0.62,604.0,4024.0,60.85,3.04,2083451.0
801960.SI,20031205,石油石化,1360.06,-0.1,8278.0,41776.0,30.73,2.64,38007724.0
801952.SI,20031205,焦炭Ⅱ,1152.84,-0.04,341.0,3500.0,30.93,3.32,755679.0
801951.SI,20031205,煤炭开采,874.72,-0.34,3402.0,27455.0,31.97,2.52,6247008.0
801950.SI,20031205,煤炭,908.5,-0.3,3743.0,30955.0,31.8,2.61,7002687.0
801783.SI,20031205,股份制银行Ⅱ,693.42,-0.25,9491.0,85036.0,28.05,3.51,16835523.0
801769.SI,20031205,出版,852.97,0.99,2983.0,19857.0,51.78,2.68,1455499.0
801767.SI,20031205,数字媒体,782.4,0.99,478.0,2653.0,119.83,3.12,604065.0
801766.SI,20031205,影视院线,744.42,-0.01,511.0,3462.0,48.68,2.32,899135.0
801765.SI,20031205,广告营销,1525.2,0.02,1044.0,8679.0,82.73,4.02,1481892.0
801764.SI,20031205,游戏Ⅱ,917.56,0.81,777.0,4822.0,46.06,3.59,896821.0
801745.SI,20031205,军工电子Ⅱ,562.44,-0.61,306.0,2233.0,86.61,1.76,567958.0
801738.SI,20031205,电网设备,554.62,0.81,2262.0,15533.0,41.85,3.22,3565418.0
801737.SI,20031205,电池,926.77,0.09,521.0,2591.0,68.95,2.62,1353708.0
801736.SI,20031205,风电设备,626.76,-0.16,141.0,1367.0,45.61,2.68,258799.0
801735.SI,20031205,光伏设备,893.34,1.5,1043.0,8486.0,29.63,2.27,1037642.0
801726.SI,20031205,工程咨询服务Ⅱ,854.15,1.96,269.0,1003.0,140.06,1.47,165615.0
801219.SI,20031205,酒店餐饮,825.2,0.43,1009.0,8070.0,147.51,2.72,934932.0
801218.SI,20031205,专业服务,490.45,-1.93,81.0,414.0,43.63,1.71,142177.0
801183.SI,20031205,房地产服务,1056.75,0.57,218.0,1911.0,28.95,7.13,398370.0
801179.SI,20031205,铁路公路,1043.92,0.25,4268.0,26853.0,29.2,2.15,14207743.0
801133.SI,20031205,饰品,1419.37,-0.03,242.0,1898.0,140.97,4.7,1001900.0
801129.SI,20031205,调味发酵品Ⅱ,841.17,0.24,395.0,2039.0,64.02,2.03,950499.0
801128.SI,20031205,休闲食品,548.24,0.38,324.0,1718.0,,4.13,95012.0
801127.SI,20031205,饮料乳品,891.59,0.37,1855.0,14215.0,27.63,2.52,2413490.0
801126.SI,20031205,非白酒,870.07,0.78,1132.0,9082.0,39.32,2.37,2998341.0
801125.SI,20031205,白酒Ⅱ,748.69,2.31,2192.0,20136.0,23.72,2.11,4269786.0
801116.SI,20031205,家电零部件Ⅱ,693.95,1.44,78.0,374.0,51.96,2.03,273069.0
801115.SI,20031205,照明设备Ⅱ,1202.05,0.37,101.0,1143.0,19.4,1.94,437584.0
801104.SI,20031205,软件开发,959.23,-0.89,1166.0,11845.0,60.26,3.36,2234168.0
801103.SI,20031205,IT服务Ⅱ,840.39,-0.23,1269.0,12899.0,35.74,3.66,3663042.0
801096.SI,20031205,商用车,1637.83,0.01,2099.0,19713.0,25.7,2.88,5032451.0
801095.SI,20031205,乘用车,2076.44,-0.96,1116.0,14213.0,17.99,4.09,6661596.0
801078.SI,20031205,自动化设备,1131.11,-0.53,76.0,881.0,106.71,5.1,463912.0
801077.SI,20031205,工程机械,1877.41,0.39,1622.0,15900.0,19.78,3.31,2763228.0
801056.SI,20031205,能源金属,628.45,0.05,59.0,370.0,130.2,3.13,176865.0
801045.SI,20031205,特钢Ⅱ,975.23,-0.72,1599.0,8619.0,21.58,1.79,1589297.0
801044.SI,20031205,普钢,1852.46,-1.13,16693.0,113155.0,12.47,2.1,21263861.0
801043.SI,20031205,冶钢原料,1073.38,-0.67,2242.0,14474.0,18.61,1.62,1590742.0
801038.SI,20031205,农化制品,922.88,0.84,2305.0,14964.0,29.6,2.61,3014669.0
801995.SI,20031204,电视广播Ⅱ,727.48,0.07,485.0,5820.0,52.96,2.36,2146012.0
801994.SI,20031204,教育,778.74,-0.28,184.0,1746.0,32.3,3.81,675044.0
801993.SI,20031204,旅游及景区,719.46,-1.8,986.0,8798.0,69.19,2.33,1486402.0
801992.SI,20031204,航运港口,1428.6,0.26,4360.0,34758.0,30.61,3.25,6808002.0
801991.SI,20031204,航空机场,1081.85,0.1,5083.0,33024.0,34.7,2.42,6874216.0
801982.SI,20031204,化妆品,593.35,1.38,75.0,718.0,23.18,2.19,258660.0
801981.SI,20031204,个护用品,684.47,1.82,79.0,344.0,331.49,2.63,102520.0
801980.SI,20031204,美容护理,786.03,0.75,181.0,1243.0,30.13,2.06,463574.0
801972.SI,20031204,环保设备Ⅱ,603.11,-0.32,103.0,1047.0,49.46,2.73,377517.0
801971.SI,20031204,环境治理,877.26,-0.15,2291.0,16180.0,47.5,2.95,5735455.0
801970.SI,20031204,环保,846.06,-0.17,2393.0,17227.0,47.66,2.93,6112972.0
